frame_num,image_name,timestamp,activities,x0,y0,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16
2,person_0.jpg,1744784558.1577234,Standing,0.585757851600647,0.596601128578186,0.6207587718963623,0.561317503452301,0.5834643244743347,0.5703562498092651,0.723444402217865,0.6029933094978333,0.0,0.0,0.8498163223266602,0.8621726632118225,0.5196679830551147,0.8510845303535461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,person_1.jpg,1744784564.028444,Standing,0.5839612483978271,0.5944865942001343,0.6232808828353882,0.560190737247467,0.5831230878829956,0.5671082735061646,0.7199486494064331,0.6054626703262329,0.0,0.0,0.8147832155227661,0.8450073003768921,0.5105031728744507,0.8661803603172302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,person_2.jpg,1744784564.4202604,Standing,0.5820130109786987,0.5959653854370117,0.6220508217811584,0.5607309937477112,0.5800347328186035,0.5668577551841736,0.7183123826980591,0.6077706813812256,0.0,0.0,0.8183139562606812,0.8568405508995056,0.5015395283699036,0.8753027319908142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,person_3.jpg,1744784564.7686534,Standing,0.5792129635810852,0.5944903492927551,0.6190209984779358,0.5610894560813904,0.5775289535522461,0.566580057144165,0.7147914171218872,0.6106821298599243,0.0,0.0,0.8287437558174133,0.8599898815155029,0.496415913105011,0.877356231212616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,person_4.jpg,1744784565.0779989,Standing,0.5757935643196106,0.5942116975784302,0.6155382394790649,0.5605812072753906,0.5746840834617615,0.5680423378944397,0.7122393846511841,0.6086017489433289,0.0,0.0,0.8237206339836121,0.8530113101005554,0.49572324752807617,0.8803771734237671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,person_5.jpg,1744784565.3964598,Standing,0.5747841596603394,0.5932323336601257,0.6157432794570923,0.5591135621070862,0.5721863508224487,0.5646300911903381,0.7118629813194275,0.6084575057029724,0.0,0.0,0.8211358785629272,0.8631917238235474,0.4958524703979492,0.8812397718429565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,person_6.jpg,1744784566.2749226,Standing,0.5675480365753174,0.6007817983627319,0.6092135310173035,0.5609264373779297,0.5641235113143921,0.5716428160667419,0.7131873369216919,0.6063838601112366,0.0,0.0,0.8138887286186218,0.8555120229721069,0.5010827779769897,0.8851189017295837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,person_7.jpg,1744784566.7783208,Standing,0.5643495321273804,0.5970643162727356,0.6075464487075806,0.5595880150794983,0.5604307651519775,0.5668808221817017,0.7124688029289246,0.6044149398803711,0.0,0.0,0.8163436651229858,0.8612906336784363,0.49165448546409607,0.8796786069869995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,person_8.jpg,1744784567.1358328,Standing,0.5640574097633362,0.5933681726455688,0.6087338924407959,0.5556556582450867,0.5600672960281372,0.5623088479042053,0.7152367234230042,0.6071577072143555,0.0,0.0,0.8154830932617188,0.8610888123512268,0.4917059540748596,0.8853763341903687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,person_9.jpg,1744784567.4401817,Standing,0.5650211572647095,0.6012793779373169,0.609824001789093,0.561355710029602,0.5556320548057556,0.57063227891922,0.7131996154785156,0.6085911393165588,0.0,0.0,0.8207811117172241,0.8591172695159912,0.48251718282699585,0.8951776027679443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
